"id";"lon";"lat"
"5926463777";8.78895;53.07284
"5963892084";8.62994;53.05173
"6284585342";8.83308;53.11463
"6477579190";8.70042;53.03374
"6633532252";8.89333;53.09795
"6773227802";8.59697;53.04433
"6773227858";8.80452;53.08366
"6885561877";8.94927;53.18608
"7006231280";8.61792;53.06453
"7006231281";8.61846;53.06446
"7006249156";8.61769;53.0633
"7030196580";8.65777;53.04917
"7099851724";8.63874;53.02895
"7137786234";8.60287;53.04402
"7137786237";8.80885;53.09508
"7147454813";8.63528;53.03024
"7147454819";8.64217;53.04118
"7223128518";8.62262;53.06925
"7297681890";8.75567;53.11364
"7397651831";8.61638;53.06136
"7472577812";8.81638;53.02775
"7477194664";8.82183;53.02699
"7526536923";8.75867;53.05679
"7694464687";8.62567;53.06914
"7836082994";8.78595;53.09112
"8126835757";8.8648;53.0951
"8259629687";8.57785;53.08404
"8261763065";8.53051;53.03872
"8357714227";8.77696;53.09999
"8387969289";8.79038;53.09834
"8521365201";8.87065;53.08375
"8530012904";8.87057;53.08285
"8579444885";8.71632;53.15202
"8781988292";8.84593;53.10729
"9136936299";8.8175;53.08065
"9337770416";8.8511;53.05371
"9405865616";8.79117;53.10137
"9405913681";8.79002;53.10236
"9405916693";8.78847;53.10321
"9425770007";8.78782;53.10554
"9437944898";8.79104;53.08622
"9438031004";8.78816;53.08381
"9442516792";8.79106;53.09408
"9448335762";8.75437;53.11239
"9463447553";8.80992;53.08163
"9463516452";8.77667;53.09406
"9476508553";8.76688;53.1118
"9476508556";8.76993;53.11061
"9476508581";8.76658;53.11232
"9501445583";8.63097;53.19015
"9505235105";8.79539;53.08186
"9551854215";8.61518;53.17403
"9551935918";8.60667;53.1764
"9551942160";8.61429;53.17421
"9566086253";8.76034;53.11337
"9571414118";8.78755;53.09413
"9592259253";8.82235;53.0751
"9654247286";8.78594;53.09637
"9666719494";8.79697;53.08026
"9688440639";8.85536;53.08422
"9701088616";8.85456;53.09409
"9714559838";8.87017;53.0973
"9715385579";8.76606;53.10257
"9735506465";8.85826;53.08903
"9742085552";8.80654;53.09416
"9742107382";8.90041;53.12386
"9742110119";8.89643;53.11832
"9770227399";8.84054;53.10657
"9788718250";8.85664;53.08897
"9809776564";8.70266;53.17007
"9813148824";8.76838;53.10185
"9831458293";8.62291;53.04812
"9843570722";8.84319;53.08946
